,Parti,Spørger,Dato
175,RV,Anne Marie Geisler Andersen ,3
176,RV,Bente Dahl ,177
177,RV,Charlotte Fischer ,175
178,RV,Elisabeth Arnold ,6
179,RV,Elisabeth Geday ,69
180,RV,Elsebeth Gerner Nielsen ,182
181,RV,Ida Auken ,98
182,RV,Ida Jørgensen ,12
183,RV,Jens Rohde ,26
184,RV,Johs. Poulsen ,123
185,RV,Jørgen Poulsen ,3
186,RV,Katrine Robsøe ,1
187,RV,Kristian Hegaard ,5
188,RV,Liv Holm Andersen ,1
189,RV,Lone Dybkjær ,64
190,RV,Lotte Rod ,3
191,RV,Manu Sareen ,5
192,RV,Margrethe Vestager ,192
193,RV,Marianne Jelved ,11
194,RV,Marlene Borst Hansen ,1
195,RV,Martin Lidegaard ,37
196,RV,Morten Helveg Petersen ,130
197,RV,Morten Østergaard ,195
198,RV,Niels Helveg Petersen ,10
199,RV,Nils Sjøberg ,15
200,RV,Ole Glahn ,13
201,RV,Poul Erik Christensen ,158
202,RV,Rasmus Helveg Petersen ,2
203,RV,Rasmus Prehn ,2
204,RV,Sofie Carsten Nielsen ,8
205,RV,Zenia Stampe ,4
206,S,Ane Halsboe-Jørgensen ,6
207,S,Anne Paulin ,5
208,S,Anne-Marie Meldgaard ,45
209,S,Annette Lind ,56
210,S,Arne Toft ,96
211,S,Astrid Krag ,145
212,S,Benny Engelbrecht ,414
213,S,Bjarne Laustsen ,794
214,S,Bjørn Medom Nielsen ,50
215,S,Carsten Bo Jensen ,3
216,S,Carsten Hansen ,88
217,S,Christian Rabjerg Madsen ,116
218,S,Christine Antorini ,204
219,S,Dan Jørgensen ,9
220,S,Daniel Toft Jakobsen ,16
221,S,Dorrit Knudsen ,14
222,S,Erik Christensen ,41
223,S,Flemming Møller Mortensen ,281
224,S,Frank Jensen ,5
225,S,Frode Sørensen ,68
226,S,Grethe H. Nielsen ,1
227,S,Helge Mortensen ,2
228,S,Helle Dam ,4
229,S,Helle Thorning-Schmidt ,6
230,S,Henning Gjellerod ,1
231,S,Henrik Dam Kristensen ,57
232,S,Henrik Sass Larsen ,47
233,S,Hüseyin Arac ,16
234,S,Inger Bierbaum ,2
235,S,Jacob Buksti ,19
236,S,Jan Johansen ,16
237,S,Jan Petersen ,44
238,S,Jan Trøjborg ,20
239,S,Jens Christian Lund ,239
240,S,Jens Joel ,134
241,S,Jens Peter Vernersen ,270
242,S,Jeppe Bruus ,16
243,S,Jeppe Kofod ,298
244,S,Jesper Petersen ,109
245,S,Jette Bergenholz Bautrup ,14
246,S,John Dyrby Paulsen ,213
247,S,Julie Rademacher ,98
248,S,Julie Skovsby ,97
249,S,Jytte Andersen ,20
250,S,Jytte Wittrock ,44
251,S,Kaare Dybvad ,71
252,S,Karen Hækkerup ,425
253,S,Karen J. Klint ,134
254,S,Karin Gaardsted ,32
255,S,Kasper Roug ,16
256,S,Kim Mortensen ,106
257,S,Kirsten Brosbøl ,253
258,S,Klaus Hækkerup ,117
259,S,Kristian Thulesen Dahl ,1
260,S,Lars Aslan Rasmussen ,67
261,S,Lars Kramer Mikkelsen ,9
262,S,Lea Wermelin ,96
263,S,Leif Lahn Jensen ,102
264,S,Lene Hansen ,184
265,S,Lene Jensen ,35
266,S,Lennart Damsbo-Andersen ,132
267,S,Lisbeth Bech Poulsen ,2
268,S,Lise von Seelen ,129
269,S,Liselott Blixt ,1
270,S,Lissa Mathiasen ,30
271,S,Lone Møller ,220
272,S,Lotte Bundsgaard ,23
273,S,Magnus Heunicke ,287
274,S,Maja Panduro ,22
275,S,Malou Lunderød ,1
276,S,Malte Larsen ,17
277,S,Margot Torp ,27
278,S,Mattias Tesfaye ,76
279,S,Mette Frederiksen ,168
280,S,Mette Gjerskov ,336
281,S,Mette Reissmann ,21
282,S,Mogens Jensen ,405
283,S,Mogens Lykketoft ,84
284,S,Morten Bødskov ,205
285,S,Nick Hækkerup ,59
286,S,Nicolai Wammen ,8
287,S,Niels Christian Nielsen ,17
288,S,Niels Sindal ,25
289,S,Ole Hækkerup ,151
290,S,Ole Sohn ,228
291,S,Ole Stavad ,81
292,S,Ole Vagn Christensen ,86
293,S,Orla Hav ,86
294,S,Peder Sass ,8
295,S,Per Husted ,42
296,S,Per Kaalund ,20
297,S,Pernille Blach Hansen ,67
298,S,Pernille Rosenkrantz-Theil ,110
299,S,Peter Hummelgaard Thomsen ,59
300,S,Pia Gjellerup ,16
301,S,Poul Andersen ,155
302,S,Poul Qvist Jørgensen ,1
303,S,Rasmus Horn Langhoff ,107
304,S,Rasmus Prehn ,876
305,S,René Skau Björnsson ,444
306,S,Ritt Bjerregaard ,20
307,S,Sandy Brinck ,21
308,S,Simon Kollerup ,72
309,S,Sophie Hæstorp Andersen ,167
310,S,Svend Auken ,2
311,S,Thomas Adelskov ,156
312,S,Thomas Horn ,2
313,S,Thomas Jensen ,160
314,S,Torben Hansen ,349
315,S,Trine Bramsen ,46
316,S,Troels Ravn ,122
317,S,Vibeke Grave ,102
318,S,Yildiz Akdogan ,212
319,SF,Aage Frandsen ,14
320,SF,Anne Baastrup ,246
321,SF,Anne Grete Holmsgaard ,142
322,SF,Anne Valentina Berthelsen ,5
323,SF,Annette Vilhelmsen ,32
324,SF,Balder Mørk Andersen ,8
325,SF,Bilal Inekci ,4
326,SF,Carl Valentin ,6
327,SF,Charlotte Broman Mølbæk ,3
328,SF,Eigil Andersen ,116
329,SF,Flemming Bonne ,48
330,SF,Henning Hyllested ,2
331,SF,Holger K. Nielsen ,463
332,SF,Jacob Mark ,44
333,SF,Jane Alrø Sørensen ,2
334,SF,Jonas Dahl ,170
335,SF,Jørn Jespersen ,58
336,SF,Kamal Qureshi ,207
337,SF,Karina Lorentzen Dehnhardt ,68
338,SF,Karl H. Bornhøft ,146
339,SF,Karsten Hønge ,78
340,SF,Kirsten Normann Andersen ,146
341,SF,Kristen Touborg ,263
342,SF,Lene Garsdal ,21
343,SF,Lisbeth Bech Poulsen ,69
344,SF,Lotte Thiim Bertelsen ,14
345,SF,Malene Søgaard-Andersen ,25
346,SF,Marie Fugl ,1
347,SF,Meta Fuglsang ,22
348,SF,Morten Homann ,862
349,SF,Nanna Westerby ,43
350,SF,Pernille Frahm ,149
351,SF,Pernille Vigsø Bagge ,434
352,SF,Peter Westermann ,6
353,SF,Pia Olsen Dyhr ,184
354,SF,Poul Henrik Hedeboe ,137
355,SF,Sanne Rubinke ,2
356,SF,Sisse Marie Welling ,7
357,SF,Steen Gade ,190
358,SF,Thomas Krog ,129
359,SF,Tina Boel ,1
360,SF,Trine Mach ,13
361,SF,Trine Torp ,101
362,SF,Villy Søvndal ,496
363,SF,Özlem Sara Cekic ,24
364,SIU,Doris Jakobsen ,9
365,SIU,Lars-Emil Johansen ,12
366,SP,Edmund Joensen ,24
367,T,Høgni Hoydal ,81
368,T,Magni Arge ,54
369,T,Tórbjørn Jacobsen ,8
370,UFG,Christian H. Hansen ,165
371,UFG,Gitte Seeberg ,1
372,UFG,Louise Frevert ,196
373,UFG,Peter Brixtofte ,2
374,UFG,Pia Christmas-Møller ,6
375,UFG,Simon Emil Ammitzbøll-Bille ,151
376,V,Anne Honoré Østergaard ,6
377,V,Anne-Mette Winther Christiansen ,63
378,V,Annette Vilhelmsen ,1
379,V,Anni Matthiesen ,108
380,V,Bertel Haarder ,45
381,V,Birgitte Josefsen ,6
382,V,Birthe Rønn Hornbech ,16
383,V,Britt Bager ,3
384,V,Britta Schall Holberg ,1
385,V,Carsten Kissmeyer ,2
386,V,Charlotte Antonsen ,2
387,V,Claus Hjort Frederiksen ,50
388,V,Ellen Trane Nørby ,286
389,V,Erling Bonnesen ,101
390,V,Esben Lunde Larsen ,193
391,V,Ester Larsen ,1
392,V,Eva Kjer Hansen ,265
393,V,Eyvind Vesselbo ,27
394,V,Fatma Øktem ,113
395,V,Finn Thranum ,4
396,V,Flemming Damgaard Larsen ,100
397,V,Gitte Lillelund Bech ,102
398,V,Hans Andersen ,179
399,V,Hans Christian Schmidt ,96
400,V,Hans Christian Thoning ,8
401,V,Heidi Bank ,10
402,V,Helge Sander ,4
403,V,Henrik Høegh ,50
404,V,Henrik Vestergaard ,1
405,V,Inger Støjberg ,196
406,V,Jacob Jensen ,385
407,V,Jakob Ellemann-Jensen ,63
408,V,Jakob Engel-Schmidt ,77
409,V,Jan E. Jørgensen ,187
410,V,Jane Heitmann ,256
411,V,Jens Christian Larsen ,1
412,V,Jens Ejner Christensen ,4
413,V,Jens Hald ,7
414,V,Jens Kirk ,6
415,V,Jens Vibjerg ,15
416,V,Joan Erlandsen ,10
417,V,Jørgen Winther ,1
418,V,Karen Ellemann ,30
419,V,Karen Jespersen ,28
420,V,Karsten Lauritzen ,371
421,V,Karsten Nonbo ,22
422,V,Kim Andersen ,87
423,V,Kim Valentin ,2
424,V,Kristian Jensen ,59
425,V,Kristian Pihl Lorentzen ,96
426,V,Lars Christian Lilleholt ,194
427,V,Lars Løkke Rasmussen ,50
428,V,Lene Espersen ,1
429,V,Louise Schack Elholm ,83
430,V,Lykke Friis ,59
431,V,Mads Rørvig ,289
432,V,Marcus Knuth ,1
433,V,Marie Bjerre ,7
434,V,Marion Pedersen ,1
435,V,Marlene Ambo-Rasmussen ,1
436,V,Martin Geertsen ,178
437,V,Michael Aastrup Jensen ,362
438,V,Mike Legarth ,1
439,V,Morten Dahlin ,11
440,V,Morten Løkkegaard ,1
441,V,Peter Christensen ,166
442,V,Peter Juel-Jensen ,19
443,V,Peter Skaarup ,2
444,V,Preben Bang Henriksen ,74
445,V,Preben Rudiengaard ,7
446,V,Rikke Hvilshøj ,18
447,V,Sophie Løhde ,277
448,V,Stén Knuth ,3
449,V,Søren Pind ,73
450,V,Thomas Danielsen ,125
451,V,Tina Nedergaard ,35
452,V,Tommy Ahlers ,1
453,V,Torsten Schack Pedersen ,319
454,V,Troels Christensen ,2
455,V,Troels Lund Poulsen ,87
456,V,Ulla Tørnæs ,96
457,udpeget af SF,Hanne Agersnap ,72
458,V,Peter Juel Jensen ,72
459,KF,Knud Kristensen ,72
460,KF,Henrik Rasmussen ,72
461,LA,Simon Emil Ammitzbøll ,72
462,V,Malou Aamund ,72
463,V,Per Bisgaard ,72
464,KF,Helle Sjelle ,72
465,KF,Steen Konradsen ,72
466,KF,Charlotte Sahl-Madsen ,72
467,RV,Erika Lorentsen ,72
468,KF,Tage Leegaard ,72
469,V,Peter Madsen ,72
470,V,Flemming Møller ,72
471,KF,Henriette Kjær ,72
472,V,Irene Simonsen ,72
473,KF,Kurt Scheelsbeck ,72
474,KF,Rasmus Jarlov  ,72
475,V,Irene Simonsen (V) ,72
476,KF,Per Løkken ,72
